n_sku,ds,y
5,2016-02-09,1423.58
1,2016-02-10,10338.64
2,2016-02-10,48408.08
3,2016-02-10,50662.8
4,2016-02-10,8373.84
5,2016-02-10,1544.28
1,2016-02-11,9546.74
2,2016-02-11,76733.58
3,2016-02-11,48374.56
4,2016-02-11,10068.7
5,2016-02-11,2410.8
1,2016-02-12,9761.4
2,2016-02-12,74941.58
3,2016-02-12,30541.32
4,2016-02-12,8632.36
5,2016-02-12,2727.43
1,2016-02-13,7397.39
2,2016-02-13,74660.32
3,2016-02-13,28817.28
4,2016-02-13,4379.55
5,2016-02-13,2824.41
1,2016-02-14,7388.16
2,2016-02-14,61637.76
3,2016-02-14,42385.54
4,2016-02-14,4841.02
5,2016-02-14,2395.12
1,2016-02-15,9198.28
2,2016-02-15,59622.48
3,2016-02-15,43774.64
4,2016-02-15,9890.64
5,2016-02-15,2005.45
1,2016-02-16,8686.54
2,2016-02-16,69175.54
3,2016-02-16,46559.98
4,2016-02-16,9925.2
5,2016-02-16,2430.7
1,2016-02-17,8919.9
2,2016-02-17,65812.38
3,2016-02-17,43021.92
4,2016-02-17,8339.8
5,2016-02-17,2580.24
1,2016-02-18,8817.9
2,2016-02-18,72061.5
3,2016-02-18,43104.35
4,2016-02-18,9534.42
5,2016-02-18,2716.2
1,2016-02-19,9792.3
2,2016-02-19,70105.25
3,2016-02-19,33327.29
4,2016-02-19,8262.8
5,2016-02-19,3300.52
1,2016-02-20,7777.92
2,2016-02-20,69502.44
3,2016-02-20,28100.8
4,2016-02-20,5321.2
5,2016-02-20,2981.46
1,2016-02-21,5863.13
2,2016-02-21,60879.18
3,2016-02-21,42891.26
4,2016-02-21,3800.64
5,2016-02-21,4088.56
1,2016-02-22,9726.3
2,2016-02-22,46017.79
3,2016-02-22,47336.74
4,2016-02-22,9329.25
5,2016-02-22,2346.75
1,2016-02-23,9617.92
2,2016-02-23,76005.28
3,2016-02-23,41872.02
4,2016-02-23,8493.84
5,2016-02-23,2415.7
1,2016-02-24,9387.95
2,2016-02-24,78262.2
3,2016-02-24,48413.28
4,2016-02-24,9260.73
5,2016-02-24,2804.76
1,2016-02-25,9988.16
2,2016-02-25,75025.08
3,2016-02-25,46005.12
4,2016-02-25,10237.76
5,2016-02-25,3140.78
1,2016-02-26,10379.31
2,2016-02-26,79297.54
3,2016-02-26,33539.15
4,2016-02-26,9610.64
5,2016-02-26,3266.73
1,2016-02-27,7853.7
2,2016-02-27,83901.66
3,2016-02-27,28296.15
4,2016-02-27,5180.94
5,2016-02-27,3363.01
1,2016-02-28,6967.62
2,2016-02-28,60665.28
3,2016-02-28,43225.0
4,2016-02-28,3742.05
5,2016-02-28,3522.48
1,2016-02-29,8947.4
2,2016-02-29,55391.7
3,2016-02-29,46086.29
4,2016-02-29,9063.95
5,2016-02-29,2033.28
1,2016-03-01,9645.3
2,2016-03-01,74145.11
3,2016-03-01,49744.3
4,2016-03-01,8985.6
5,2016-03-01,2536.11
1,2016-03-02,9089.28
2,2016-03-02,76774.64
3,2016-03-02,48237.28
4,2016-03-02,9423.44
5,2016-03-02,2830.8
1,2016-03-03,10237.76
2,2016-03-03,69544.47
3,2016-03-03,51505.4
4,2016-03-03,8750.12
5,2016-03-03,3157.73
1,2016-03-04,10352.25
2,2016-03-04,81422.28
3,2016-03-04,33816.28
4,2016-03-04,10206.76
5,2016-03-04,3072.16
1,2016-03-05,8840.34
2,2016-03-05,72048.03
3,2016-03-05,25692.48
4,2016-03-05,4709.12
5,2016-03-05,3529.93
1,2016-03-06,6772.5
2,2016-03-06,58460.93
3,2016-03-06,48098.4
4,2016-03-06,3970.87
5,2016-03-06,3758.7
1,2016-03-07,10041.08
2,2016-03-07,48326.34
3,2016-03-07,49107.45
4,2016-03-07,9743.51
5,2016-03-07,2291.14
1,2016-03-08,8836.9
2,2016-03-08,64563.76
3,2016-03-08,52189.2
4,2016-03-08,8293.74
5,2016-03-08,2758.79
1,2016-03-09,8520.16
2,2016-03-09,69243.45
3,2016-03-09,48740.58
4,2016-03-09,9451.28
5,2016-03-09,2601.76
1,2016-03-10,9000.5
2,2016-03-10,66174.68
3,2016-03-10,54300.24
4,2016-03-10,9657.9
5,2016-03-10,2939.04
1,2016-03-11,9671.04
2,2016-03-11,77703.6
3,2016-03-11,34466.84
4,2016-03-11,8614.88
5,2016-03-11,3239.28
1,2016-03-12,8871.39
2,2016-03-12,76826.2
3,2016-03-12,25001.0
4,2016-03-12,4751.25
5,2016-03-12,3203.85
1,2016-03-13,7206.84
2,2016-03-13,61326.72
3,2016-03-13,48660.56
4,2016-03-13,3672.9
5,2016-03-13,3859.21
1,2016-03-14,9775.12
2,2016-03-14,51060.94
3,2016-03-14,50235.12
4,2016-03-14,8558.34
5,2016-03-14,2482.48
1,2016-03-15,8969.85
2,2016-03-15,67318.16
3,2016-03-15,43112.12
4,2016-03-15,8986.6
5,2016-03-15,2643.84
1,2016-03-16,8848.56
2,2016-03-16,71858.3
3,2016-03-16,51033.28
4,2016-03-16,8580.39
5,2016-03-16,2626.75
1,2016-03-17,10243.82
2,2016-03-17,71136.63
3,2016-03-17,53283.02
4,2016-03-17,9390.57
5,2016-03-17,3109.57
1,2016-03-18,10269.28
2,2016-03-18,79281.28
3,2016-03-18,37446.62
4,2016-03-18,10543.57
5,2016-03-18,3041.92
1,2016-03-19,9109.36
2,2016-03-19,77678.72
3,2016-03-19,28124.18
4,2016-03-19,4428.06
5,2016-03-19,3489.52
1,2016-03-20,6321.49
2,2016-03-20,69882.08
3,2016-03-20,49181.04
4,2016-03-20,3688.88
5,2016-03-20,3867.76
1,2016-03-21,9241.5
2,2016-03-21,52217.72
3,2016-03-21,49725.0
4,2016-03-21,8635.2
5,2016-03-21,2267.72
1,2016-03-22,9627.75
2,2016-03-22,68167.25
3,2016-03-22,49078.44
4,2016-03-22,8550.36
5,2016-03-22,1646.3
1,2016-03-23,10344.96
2,2016-03-23,78353.34
3,2016-03-23,44664.572
4,2016-03-23,10531.75
5,2016-03-23,2900.77
1,2016-03-24,6091.2
2,2016-03-24,75440.82
3,2016-03-24,45118.46000000001
4,2016-03-24,4843.8
5,2016-03-24,3194.1
1,2016-03-25,8799.9475
2,2016-03-25,54189.54
3,2016-03-25,21593.39
4,2016-03-25,8043.0425
5,2016-03-25,2019.78
1,2016-03-26,7194.33
2,2016-03-26,65598.78749999999
3,2016-03-26,26678.08
4,2016-03-26,3714.9
5,2016-03-26,1435.45
1,2016-03-27,6656.2
2,2016-03-27,47395.5
3,2016-03-27,50699.8
4,2016-03-27,3897.59
5,2016-03-27,1648.32
1,2016-03-28,9220.12
2,2016-03-28,48827.79
3,2016-03-28,45631.35
4,2016-03-28,9055.4
5,2016-03-28,1731.14
1,2016-03-29,10109.22
2,2016-03-29,80873.76
3,2016-03-29,45212.16
4,2016-03-29,10148.99
5,2016-03-29,2433.73
1,2016-03-30,9441.01
2,2016-03-30,67356.88
3,2016-03-30,53289.36
4,2016-03-30,9035.55
5,2016-03-30,2579.85
1,2016-03-31,9676.52
2,2016-03-31,70650.55
3,2016-03-31,44829.72
4,2016-03-31,9444.6
5,2016-03-31,3412.79
1,2016-04-01,9838.22
2,2016-04-01,78524.11
3,2016-04-01,30585.36
4,2016-04-01,9935.38
5,2016-04-01,3216.36
1,2016-04-02,7479.36
2,2016-04-02,77076.02
3,2016-04-02,27685.18
4,2016-04-02,3472.56
5,2016-04-02,2708.9
1,2016-04-03,5822.68
2,2016-04-03,49509.46
3,2016-04-03,46175.93
4,2016-04-03,3481.8
5,2016-04-03,2991.45
1,2016-04-04,9339.66
2,2016-04-04,45855.55
3,2016-04-04,42770.7
4,2016-04-04,8994.99
