n_sku,ds,y
1,2016-01-01,5064.78
2,2016-01-01,65566.876
3,2016-01-01,23636.02
4,2016-01-01,8555.852
5,2016-01-01,972.63
1,2016-01-02,6372.84
2,2016-01-02,68615.48400000001
3,2016-01-02,20640.2
4,2016-01-02,3823.86
5,2016-01-02,953.37
1,2016-01-03,7226.7
2,2016-01-03,44121.8
3,2016-01-03,41134.27
4,2016-01-03,4277.86
5,2016-01-03,1408.95
1,2016-01-04,9244.9
2,2016-01-04,45497.47
3,2016-01-04,38694.45
4,2016-01-04,9202.11
5,2016-01-04,1047.85
1,2016-01-05,9272.82
2,2016-01-05,78998.84
3,2016-01-05,38204.53
4,2016-01-05,8286.3
5,2016-01-05,1907.56
1,2016-01-06,9283.39
2,2016-01-06,65653.55
3,2016-01-06,42430.08
4,2016-01-06,9619.05
5,2016-01-06,2119.45
1,2016-01-07,8916.24
2,2016-01-07,66785.12
3,2016-01-07,39386.62
4,2016-01-07,9483.21
5,2016-01-07,2178.92
1,2016-01-08,9405.0
2,2016-01-08,68612.48
3,2016-01-08,27839.88
4,2016-01-08,10423.67
5,2016-01-08,2503.72
1,2016-01-09,7683.66
2,2016-01-09,70794.39
3,2016-01-09,23614.02
4,2016-01-09,4667.74
5,2016-01-09,2470.2
1,2016-01-10,5718.72
2,2016-01-10,54437.76
3,2016-01-10,42236.18
4,2016-01-10,3652.11
5,2016-01-10,2047.22
1,2016-01-11,9094.14
2,2016-01-11,46437.78
3,2016-01-11,44252.25
4,2016-01-11,10205.67
5,2016-01-11,1225.11
1,2016-01-12,9701.64
2,2016-01-12,76167.0
3,2016-01-12,45861.9
4,2016-01-12,9960.84
5,2016-01-12,2171.4
1,2016-01-13,8760.0
2,2016-01-13,70119.72
3,2016-01-13,44155.86
4,2016-01-13,8485.16
5,2016-01-13,2256.94
1,2016-01-14,9062.4
2,2016-01-14,76247.92
3,2016-01-14,45416.25
4,2016-01-14,10147.68
5,2016-01-14,2578.98
1,2016-01-15,8981.96
2,2016-01-15,68868.44
3,2016-01-15,30842.24
4,2016-01-15,9918.2
5,2016-01-15,2475.99
1,2016-01-16,7805.34
2,2016-01-16,81173.27
3,2016-01-16,21992.6
4,2016-01-16,4936.88
5,2016-01-16,2488.85
1,2016-01-17,5509.14
2,2016-01-17,63840.21
3,2016-01-17,45172.08
4,2016-01-17,3722.32
5,2016-01-17,1999.27
1,2016-01-18,10035.63
2,2016-01-18,48244.35
3,2016-01-18,43097.26
4,2016-01-18,9010.84
5,2016-01-18,1376.64
1,2016-01-19,8268.26
2,2016-01-19,74572.06
3,2016-01-19,40277.76
4,2016-01-19,8989.2
5,2016-01-19,2190.24
1,2016-01-20,9168.03
2,2016-01-20,71908.72
3,2016-01-20,46349.28
4,2016-01-20,9438.45
5,2016-01-20,2410.72
1,2016-01-21,10066.68
2,2016-01-21,74397.1
3,2016-01-21,42225.26
4,2016-01-21,8580.84
5,2016-01-21,2554.96
1,2016-01-22,8745.52
2,2016-01-22,75852.3
3,2016-01-22,28750.93
4,2016-01-22,9688.18
5,2016-01-22,2205.84
1,2016-01-23,6719.04
2,2016-01-23,78562.96
3,2016-01-23,21601.58
4,2016-01-23,4812.08
5,2016-01-23,2650.24
1,2016-01-24,5992.66
2,2016-01-24,53142.42
3,2016-01-24,45385.92
4,2016-01-24,3515.32
5,2016-01-24,2194.2
1,2016-01-25,10155.86
2,2016-01-25,47637.5
3,2016-01-25,43388.1
4,2016-01-25,8491.83
5,2016-01-25,1475.52
1,2016-01-26,9435.92
2,2016-01-26,77503.36
3,2016-01-26,38925.15
4,2016-01-26,9686.71
5,2016-01-26,1900.68
1,2016-01-27,8326.92
2,2016-01-27,72750.98
3,2016-01-27,41241.6
4,2016-01-27,9514.56
5,2016-01-27,2388.75
1,2016-01-28,8542.05
2,2016-01-28,65356.32
3,2016-01-28,40740.75
4,2016-01-28,9821.53
5,2016-01-28,2481.93
1,2016-01-29,9892.98
2,2016-01-29,76938.74
3,2016-01-29,28911.96
4,2016-01-29,10425.85
5,2016-01-29,2702.82
1,2016-01-30,7868.91
