n_sku,ds,y
3,2016-02-15,45091.0
4,2016-02-15,9158.0
5,2016-02-15,2230.0
1,2016-02-16,9241.0
2,2016-02-16,70766.0
3,2016-02-16,44668.0
4,2016-02-16,9190.0
5,2016-02-16,2481.0
1,2016-02-17,9010.0
2,2016-02-17,68630.0
3,2016-02-17,43514.0
4,2016-02-17,8510.0
5,2016-02-17,2515.0
1,2016-02-18,9282.0
2,2016-02-18,73795.0
3,2016-02-18,45768.0
4,2016-02-18,9729.0
5,2016-02-18,3028.0
1,2016-02-19,9326.0
2,2016-02-19,71652.0
3,2016-02-19,45373.0
4,2016-02-19,9080.0
5,2016-02-19,2923.0
1,2016-02-20,8102.0
2,2016-02-20,59106.0
3,2016-02-20,31147.0
4,2016-02-20,5020.0
5,2016-02-20,4172.0
1,2016-02-21,6443.0
2,2016-02-21,50569.0
3,2016-02-21,27020.0
4,2016-02-21,3959.0
5,2016-02-21,2235.0
1,2016-02-22,9090.0
2,2016-02-22,73082.0
3,2016-02-22,45629.0
4,2016-02-22,8885.0
5,2016-02-22,2465.0
1,2016-02-23,9248.0
2,2016-02-23,72465.0
3,2016-02-23,45958.0
4,2016-02-23,9036.0
5,2016-02-23,2597.0
1,2016-02-24,9295.0
2,2016-02-24,73554.0
3,2016-02-24,41051.0
4,2016-02-24,8991.0
5,2016-02-24,2963.0
1,2016-02-25,9604.0
2,2016-02-25,74809.0
3,2016-02-25,47464.0
4,2016-02-25,9568.0
5,2016-02-25,2997.0
1,2016-02-26,10077.0
2,2016-02-26,76974.0
3,2016-02-26,46944.0
4,2016-02-26,9241.0
5,2016-02-26,3143.0
1,2016-02-27,8355.0
2,2016-02-27,63193.0
3,2016-02-27,31345.0
4,2016-02-27,4842.0
5,2016-02-27,3387.0
1,2016-02-28,6831.0
2,2016-02-28,52754.0
3,2016-02-28,26445.0
4,2016-02-28,3939.0
5,2016-02-28,2118.0
1,2016-02-29,9130.0
2,2016-02-29,73411.0
3,2016-02-29,45500.0
4,2016-02-29,9541.0
5,2016-02-29,2727.0
1,2016-03-01,9186.0
2,2016-03-01,71752.0
3,2016-03-01,42281.0
4,2016-03-01,9360.0
5,2016-03-01,2696.0
1,2016-03-02,9468.0
2,2016-03-02,74779.0
3,2016-03-02,46490.0
4,2016-03-02,9061.0
5,2016-03-02,2897.0
1,2016-03-03,9844.0
2,2016-03-03,75391.0
3,2016-03-03,46382.0
4,2016-03-03,9511.0
5,2016-03-03,2954.0
1,2016-03-04,9675.0
2,2016-03-04,77471.0
3,2016-03-04,48590.0
4,2016-03-04,9364.0
5,2016-03-04,3299.0
1,2016-03-05,8667.0
2,2016-03-05,60269.0
3,2016-03-05,31604.0
4,2016-03-05,4528.0
5,2016-03-05,3685.0
1,2016-03-06,6450.0
2,2016-03-06,51411.0
3,2016-03-06,25952.0
4,2016-03-06,3643.0
5,2016-03-06,2362.0
1,2016-03-07,9212.0
2,2016-03-07,70178.0
3,2016-03-07,45808.0
4,2016-03-07,8939.0
5,2016-03-07,2531.0
1,2016-03-08,9302.0
2,2016-03-08,71385.0
3,2016-03-08,46769.0
4,2016-03-08,9114.0
5,2016-03-08,2828.0
1,2016-03-09,9064.0
2,2016-03-09,71929.0
3,2016-03-09,47880.0
4,2016-03-09,9176.0
5,2016-03-09,2826.0
1,2016-03-10,9575.0
2,2016-03-10,76180.0
3,2016-03-10,48258.0
4,2016-03-10,9198.0
5,2016-03-10,3272.0
1,2016-03-11,10074.0
2,2016-03-11,81730.0
3,2016-03-11,50278.0
4,2016-03-11,9364.0
5,2016-03-11,3445.0
1,2016-03-12,8613.0
2,2016-03-12,63882.0
3,2016-03-12,32212.0
4,2016-03-12,4525.0
5,2016-03-12,3821.0
1,2016-03-13,6673.0
2,2016-03-13,52103.0
3,2016-03-13,27175.0
4,2016-03-13,3710.0
5,2016-03-13,2728.0
1,2016-03-14,8968.0
2,2016-03-14,73976.0
3,2016-03-14,46789.0
4,2016-03-14,8733.0
5,2016-03-14,2592.0
1,2016-03-15,9645.0
2,2016-03-15,76445.0
3,2016-03-15,48303.0
4,2016-03-15,9170.0
5,2016-03-15,2765.0
1,2016-03-16,9618.0
2,2016-03-16,76491.0
3,2016-03-16,46861.0
4,2016-03-16,9429.0
5,2016-03-16,3019.0
1,2016-03-17,9398.0
2,2016-03-17,76232.0
3,2016-03-17,50528.0
4,2016-03-17,9681.0
5,2016-03-17,3104.0
1,2016-03-18,9688.0
2,2016-03-18,79264.0
3,2016-03-18,50267.0
4,2016-03-18,9673.0
5,2016-03-18,3292.0
1,2016-03-19,8759.0
2,2016-03-19,64112.0
3,2016-03-19,35327.0
4,2016-03-19,4866.0
5,2016-03-19,3719.0
1,2016-03-20,6517.0
2,2016-03-20,49262.0
3,2016-03-20,25802.0
4,2016-03-20,3547.0
5,2016-03-20,2492.0
1,2016-03-21,9150.0
2,2016-03-21,71755.0
3,2016-03-21,45538.0
4,2016-03-21,8995.0
5,2016-03-21,1630.0
1,2016-03-22,9725.0
2,2016-03-22,76817.0
3,2016-03-22,48750.0
4,2016-03-22,9396.0
5,2016-03-22,2711.0
1,2016-03-23,10776.0
2,2016-03-23,82902.0
3,2016-03-23,45443.0
4,2016-03-23,10225.0
5,2016-03-23,3042.0
1,2016-03-24,9034.2
2,2016-03-24,71433.4
3,2016-03-24,42942.8
4,2016-03-24,8483.0
5,2016-03-24,2061.0
1,2016-03-25,8562.0
2,2016-03-25,69148.75
3,2016-03-25,42347.75
4,2016-03-25,7775.0
5,2016-03-25,1511.0
1,2016-03-26,7267.0
2,2016-03-26,49890.0
3,2016-03-26,23729.0
4,2016-03-26,3538.0
5,2016-03-26,1616.0
1,2016-03-27,7235.0
2,2016-03-27,52503.0
3,2016-03-27,25652.0
4,2016-03-27,3859.0
5,2016-03-27,1714.0
1,2016-03-28,10132.0
2,2016-03-28,76296.0
3,2016-03-28,47830.0
4,2016-03-28,9532.0
5,2016-03-28,2509.0
1,2016-03-29,9537.0
2,2016-03-29,73214.0
3,2016-03-29,48033.0
