date,n_sku,demand
2016-02-09,5,1514.0
2016-02-10,1,9941.0
2016-02-10,2,75229.0
2016-02-10,3,45104.0
2016-02-10,4,9102.0
2016-02-10,5,2460.0
2016-02-11,1,9842.0
2016-02-11,2,76471.0
2016-02-11,3,46910.0
2016-02-11,4,9410.0
2016-02-11,5,2549.0
2016-02-12,1,9570.0
2016-02-12,2,76184.0
2016-02-12,3,46514.0
2016-02-12,4,9383.0
2016-02-12,5,3037.0
2016-02-13,1,8129.0
2016-02-13,2,57072.0
2016-02-13,3,28279.0
2016-02-13,4,4515.0
2016-02-13,5,2303.0
2016-02-14,1,7104.0
2016-02-14,2,55206.0
2016-02-14,3,30018.0
2016-02-14,4,4567.0
2016-02-14,5,2111.0
2016-02-15,1,9386.0
2016-02-15,2,73591.0
2016-02-15,3,45091.0
2016-02-15,4,9158.0
2016-02-15,5,2230.0
2016-02-16,1,9241.0
2016-02-16,2,70766.0
2016-02-16,3,44668.0
2016-02-16,4,9190.0
2016-02-16,5,2481.0
2016-02-17,1,9010.0
2016-02-17,2,68630.0
2016-02-17,3,43514.0
2016-02-17,4,8510.0
2016-02-17,5,2515.0
2016-02-18,1,9282.0
2016-02-18,2,73795.0
2016-02-18,3,45768.0
2016-02-18,4,9729.0
2016-02-18,5,3028.0
2016-02-19,1,9326.0
2016-02-19,2,71652.0
2016-02-19,3,45373.0
2016-02-19,4,9080.0
2016-02-19,5,2923.0
2016-02-20,1,8102.0
2016-02-20,2,59106.0
2016-02-20,3,31147.0
2016-02-20,4,5020.0
2016-02-20,5,4172.0
2016-02-21,1,6443.0
2016-02-21,2,50569.0
2016-02-21,3,27020.0
2016-02-21,4,3959.0
2016-02-21,5,2235.0
2016-02-22,1,9090.0
2016-02-22,2,73082.0
2016-02-22,3,45629.0
2016-02-22,4,8885.0
2016-02-22,5,2465.0
2016-02-23,1,9248.0
2016-02-23,2,72465.0
2016-02-23,3,45958.0
2016-02-23,4,9036.0
2016-02-23,5,2597.0
2016-02-24,1,9295.0
2016-02-24,2,73554.0
2016-02-24,3,41051.0
2016-02-24,4,8991.0
2016-02-24,5,2963.0
2016-02-25,1,9604.0
2016-02-25,2,74809.0
2016-02-25,3,47464.0
2016-02-25,4,9568.0
2016-02-25,5,2997.0
2016-02-26,1,10077.0
2016-02-26,2,76974.0
2016-02-26,3,46944.0
2016-02-26,4,9241.0
2016-02-26,5,3143.0
2016-02-27,1,8355.0
2016-02-27,2,63193.0
2016-02-27,3,31345.0
2016-02-27,4,4842.0
2016-02-27,5,3387.0
2016-02-28,1,6831.0
2016-02-28,2,52754.0
2016-02-28,3,26445.0
2016-02-28,4,3939.0
2016-02-28,5,2118.0
2016-02-29,1,9130.0
2016-02-29,2,73411.0
2016-02-29,3,45500.0
2016-02-29,4,9541.0
2016-02-29,5,2727.0
2016-03-01,1,9186.0
2016-03-01,2,71752.0
2016-03-01,3,42281.0
2016-03-01,4,9360.0
2016-03-01,5,2696.0
2016-03-02,1,9468.0
2016-03-02,2,74779.0
2016-03-02,3,46490.0
2016-03-02,4,9061.0
2016-03-02,5,2897.0
2016-03-03,1,9844.0
2016-03-03,2,75391.0
2016-03-03,3,46382.0
2016-03-03,4,9511.0
2016-03-03,5,2954.0
2016-03-04,1,9675.0
2016-03-04,2,77471.0
2016-03-04,3,48590.0
2016-03-04,4,9364.0
2016-03-04,5,3299.0
2016-03-05,1,8667.0
2016-03-05,2,60269.0
2016-03-05,3,31604.0
2016-03-05,4,4528.0
2016-03-05,5,3685.0
2016-03-06,1,6450.0
2016-03-06,2,51411.0
2016-03-06,3,25952.0
2016-03-06,4,3643.0
2016-03-06,5,2362.0
2016-03-07,1,9212.0
2016-03-07,2,70178.0
2016-03-07,3,45808.0
2016-03-07,4,8939.0
2016-03-07,5,2531.0
2016-03-08,1,9302.0
2016-03-08,2,71385.0
2016-03-08,3,46769.0
2016-03-08,4,9114.0
2016-03-08,5,2828.0
2016-03-09,1,9064.0
2016-03-09,2,71929.0
2016-03-09,3,47880.0
2016-03-09,4,9176.0
2016-03-09,5,2826.0
2016-03-10,1,9575.0
2016-03-10,2,76180.0
