date,n_sku,demand
2016-01-01,1,5064.78
2016-01-01,2,37562.42
2016-01-01,3,23636.02
2016-01-01,4,2323.36
2016-01-01,5,972.63
2016-01-02,1,6372.84
2016-01-02,2,35645.97
2016-01-02,3,20640.2
2016-01-02,4,3823.86
2016-01-02,5,953.37
2016-01-03,1,7226.7
2016-01-03,2,44121.8
2016-01-03,3,41134.27
2016-01-03,4,4277.86
2016-01-03,5,1408.95
2016-01-04,1,9244.9
2016-01-04,2,45497.47
2016-01-04,3,38694.45
2016-01-04,4,9202.11
2016-01-04,5,1047.85
2016-01-05,1,9272.82
2016-01-05,2,78998.84
2016-01-05,3,38204.53
2016-01-05,4,8286.3
2016-01-05,5,1907.56
2016-01-06,1,9283.39
2016-01-06,2,65653.55
2016-01-06,3,42430.08
2016-01-06,4,9619.05
2016-01-06,5,2119.45
2016-01-07,1,8916.24
2016-01-07,2,66785.12
2016-01-07,3,39386.62
2016-01-07,4,9483.21
2016-01-07,5,2178.92
2016-01-08,1,9405.0
2016-01-08,2,68612.48
2016-01-08,3,27839.88
2016-01-08,4,10423.67
2016-01-08,5,2503.72
2016-01-09,1,7683.66
2016-01-09,2,70794.39
2016-01-09,3,23614.02
2016-01-09,4,4667.74
2016-01-09,5,2470.2
2016-01-10,1,5718.72
2016-01-10,2,54437.76
2016-01-10,3,42236.18
2016-01-10,4,3652.11
2016-01-10,5,2047.22
2016-01-11,1,9094.14
2016-01-11,2,46437.78
2016-01-11,3,44252.25
2016-01-11,4,10205.67
2016-01-11,5,1225.11
2016-01-12,1,9701.64
2016-01-12,2,76167.0
2016-01-12,3,45861.9
2016-01-12,4,9960.84
2016-01-12,5,2171.4
2016-01-13,1,8760.0
2016-01-13,2,70119.72
2016-01-13,3,44155.86
2016-01-13,4,8485.16
2016-01-13,5,2256.94
2016-01-14,1,9062.4
2016-01-14,2,76247.92
2016-01-14,3,45416.25
2016-01-14,4,10147.68
2016-01-14,5,2578.98
2016-01-15,1,8981.96
2016-01-15,2,68868.44
2016-01-15,3,30842.24
2016-01-15,4,9918.2
2016-01-15,5,2475.99
2016-01-16,1,7805.34
2016-01-16,2,81173.27
2016-01-16,3,21992.6
2016-01-16,4,4936.88
2016-01-16,5,2488.85
2016-01-17,1,5509.14
2016-01-17,2,63840.21
2016-01-17,3,45172.08
2016-01-17,4,3722.32
2016-01-17,5,1999.27
2016-01-18,1,10035.63
2016-01-18,2,48244.35
2016-01-18,3,43097.26
2016-01-18,4,9010.84
2016-01-18,5,1376.64
2016-01-19,1,8268.26
2016-01-19,2,74572.06
2016-01-19,3,40277.76
2016-01-19,4,8989.2
2016-01-19,5,2190.24
2016-01-20,1,9168.03
2016-01-20,2,71908.72
2016-01-20,3,46349.28
2016-01-20,4,9438.45
2016-01-20,5,2410.72
2016-01-21,1,10066.68
2016-01-21,2,74397.1
2016-01-21,3,42225.26
2016-01-21,4,8580.84
2016-01-21,5,2554.96
2016-01-22,1,8745.52
2016-01-22,2,75852.3
2016-01-22,3,28750.93
2016-01-22,4,9688.18
2016-01-22,5,2205.84
2016-01-23,1,6719.04
2016-01-23,2,78562.96
2016-01-23,3,21601.58
2016-01-23,4,4812.08
2016-01-23,5,2650.24
2016-01-24,1,5992.66
2016-01-24,2,53142.42
2016-01-24,3,45385.92
2016-01-24,4,3515.32
2016-01-24,5,2194.2
2016-01-25,1,10155.86
2016-01-25,2,47637.5
2016-01-25,3,43388.1
2016-01-25,4,8491.83
2016-01-25,5,1475.52
2016-01-26,1,9435.92
2016-01-26,2,77503.36
2016-01-26,3,38925.15
2016-01-26,4,9686.71
2016-01-26,5,1900.68
2016-01-27,1,8326.92
2016-01-27,2,72750.98
2016-01-27,3,41241.6
2016-01-27,4,9514.56
2016-01-27,5,2388.75
2016-01-28,1,8542.05
2016-01-28,2,65356.32
2016-01-28,3,40740.75
2016-01-28,4,9821.53
2016-01-28,5,2481.93
2016-01-29,1,9892.98
2016-01-29,2,76938.74
2016-01-29,3,28911.96
2016-01-29,4,10425.85
2016-01-29,5,2702.82
2016-01-30,1,7868.91
2016-01-30,2,76900.83
2016-01-30,3,27156.6
2016-01-30,4,4917.64
2016-01-30,5,2625.48
2016-01-31,1,5780.75
2016-01-31,2,59818.28
2016-01-31,3,43753.92
2016-01-31,4,4007.37
2016-01-31,5,2124.4
2016-02-01,1,8854.3
2016-02-01,2,49977.9
2016-02-01,3,46806.78
2016-02-01,4,8936.73
2016-02-01,5,1731.45
2016-02-02,1,8465.28
2016-02-02,2,72552.48
2016-02-02,3,46444.32
2016-02-02,4,8596.56
2016-02-02,5,2318.16
2016-02-03,1,9389.48
2016-02-03,2,71247.16
2016-02-03,3,44450.25
2016-02-03,4,8536.32
2016-02-03,5,2468.4
2016-02-04,1,8677.3
2016-02-04,2,71677.44
2016-02-04,3,45677.76
2016-02-04,4,9412.8
2016-02-04,5,2860.92
2016-02-05,1,9818.32
2016-02-05,2,73942.86
2016-02-05,3,31530.76
2016-02-05,4,10087.96
2016-02-05,5,2381.65
2016-02-06,1,7403.55
2016-02-06,2,77038.76
2016-02-06,3,22241.4
2016-02-06,4,4947.22
2016-02-06,5,3043.44
2016-02-07,1,4443.84
2016-02-07,2,53275.31
2016-02-07,3,23617.86
2016-02-07,4,2977.86
2016-02-07,5,2232.0
2016-02-08,1,5864.56
2016-02-08,2,39292.28
2016-02-08,3,21677.04
2016-02-08,4,3732.48
2016-02-08,5,1501.5
2016-02-09,1,6110.82
2016-02-09,2,42888.3
2016-02-09,3,41044.64
2016-02-09,4,3649.1
2016-02-09,5,1329.57
2016-02-10,1,9046.31
2016-02-10,2,49321.44
2016-02-10,3,51131.9
2016-02-10,4,8555.88
2016-02-10,5,1589.7
2016-02-11,1,9645.16
2016-02-11,2,81999.61
2016-02-11,3,43258.02
2016-02-11,4,9786.4
2016-02-11,5,2337.0
2016-02-12,1,10431.3
2016-02-12,2,74941.58
2016-02-12,3,27147.84
2016-02-12,4,9945.98
2016-02-12,5,2472.53
2016-02-13,1,7478.68
2016-02-13,2,73136.64
2016-02-13,3,27616.56
2016-02-13,4,4876.2
2016-02-13,5,3310.33
2016-02-14,1,6890.88
2016-02-14,2,60496.32
2016-02-14,3,48698.28
2016-02-14,4,4155.97
2016-02-14,5,2210.88
2016-02-15,1,8916.7
2016-02-15,2,57966.3
2016-02-15,3,40647.88
2016-02-15,4,9249.58
2016-02-15,5,2068.78
2016-02-16,1,9980.28
2016-02-16,2,75062.82
2016-02-16,3,41773.44
2016-02-16,4,9741.4
2016-02-16,5,2319.2
2016-02-17,1,9460.5
2016-02-17,2,65104.72
2016-02-17,3,47141.04
2016-02-17,4,8254.7
2016-02-17,5,2431.38
2016-02-18,1,9003.54
2016-02-18,2,65884.8
2016-02-18,3,49002.84
2016-02-18,4,9437.13
2016-02-18,5,2691.05
2016-02-19,1,10165.34
2016-02-19,2,80436.55
2016-02-19,3,33638.76
2016-02-19,4,8262.8
2016-02-19,5,2997.72
2016-02-20,1,8588.12
2016-02-20,2,70935.48
2016-02-20,3,28371.0
2016-02-20,4,5170.6
2016-02-20,5,2835.31
2016-02-21,1,7022.87
2016-02-21,2,54377.52
2016-02-21,3,44260.13
2016-02-21,4,4315.31
2016-02-21,5,4005.12
2016-02-22,1,8999.1
2016-02-22,2,46017.79
2016-02-22,3,50094.22
2016-02-22,4,8707.3
2016-02-22,5,2369.1
2016-02-23,1,9432.96
2016-02-23,2,76005.28
2016-02-23,3,42282.53
2016-02-23,4,9849.24
2016-02-23,5,2292.45
2016-02-24,1,8923.2
2016-02-24,2,71015.7
2016-02-24,3,46989.36
2016-02-24,4,8271.72
2016-02-24,5,2700.88
2016-02-25,1,9219.84
2016-02-25,2,66934.14
2016-02-25,3,51168.96
2016-02-25,4,10237.76
2016-02-25,5,3051.89
2016-02-26,1,10379.31
2016-02-26,2,81541.81
2016-02-26,3,28523.95
2016-02-26,4,9148.59
2016-02-26,5,2757.24
2016-02-27,1,8187.9
2016-02-27,2,73125.3
2016-02-27,3,27238.35
2016-02-27,4,4696.74
2016-02-27,5,2891.56
2016-02-28,1,6626.07
2016-02-28,2,61929.14
2016-02-28,3,42315.0
2016-02-28,4,3899.61
2016-02-28,5,3251.52
2016-02-29,1,9677.8
2016-02-29,2,54336.62
2016-02-29,3,44817.86
2016-02-29,4,9254.77
2016-02-29,5,2266.26
2016-03-01,1,9920.88
2016-03-01,2,71208.67
2016-03-01,3,46954.9
2016-03-01,4,9828.0
2016-03-01,5,2945.16
2016-03-02,1,9846.72
2016-03-02,2,69599.44
2016-03-02,3,43599.08
2016-03-02,4,8970.39
2016-03-02,5,2507.28
2016-03-03,1,10729.96
2016-03-03,2,80761.32
2016-03-03,3,44702.8
2016-03-03,4,9415.89
2016-03-03,5,2983.91
2016-03-04,1,8804.25
2016-03-04,2,80668.37
2016-03-04,3,33500.24
2016-03-04,4,8989.44
2016-03-04,5,3131.24
2016-03-05,1,9447.03
2016-03-05,2,81344.55
2016-03-05,3,26990.08
2016-03-05,4,4573.28
2016-03-05,5,3397.97
2016-03-06,1,6579.0
2016-03-06,2,62077.07
2016-03-06,3,41685.28
2016-03-06,4,3715.86
2016-03-06,5,3758.7
2016-03-07,1,9396.24
2016-03-07,2,55009.77
2016-03-07,3,45365.93
2016-03-07,4,9654.12
2016-03-07,5,2480.1
2016-03-08,1,9115.96
2016-03-08,2,74388.68
2016-03-08,3,44528.4
2016-03-08,4,9843.12
2016-03-08,5,2505.69
2016-03-09,1,8248.24
2016-03-09,2,67101.9
2016-03-09,3,49223.16
2016-03-09,4,8992.48
2016-03-09,5,2686.6
2016-03-10,1,9479.25
2016-03-10,2,73367.58
2016-03-10,3,49272.44
2016-03-10,4,9657.9
2016-03-10,5,2967.3
2016-03-11,1,10879.92
2016-03-11,2,80750.8
2016-03-11,3,30601.4
2016-03-11,4,8708.52
2016-03-11,5,3173.84
2016-03-12,1,8785.26
2016-03-12,2,87451.1
2016-03-12,3,29349.0
2016-03-12,4,4751.25
2016-03-12,5,3341.65
2016-03-13,1,6072.43
2016-03-13,2,67076.1
2016-03-13,3,43981.66
2016-03-13,4,3969.7
2016-03-13,5,3744.58
2016-03-14,1,8609.28
2016-03-14,2,53145.06
2016-03-14,3,46853.91
